Strategia Rosso,Strategia Blu,Partite Giocate,Vittorie Rosso,Vittorie Blu,Pareggi,Tempo Totale (s)
playerExampleAlphaImplGiuseppe,playerStrategyImplPasquale,20,11,9,0,4002.71
playerStrategyImplPasquale,playerExampleAlphaImplGiuseppe,20,7,13,0,3915.45
